cpdid,seq.id,num_runs
CPDC130199,SEQ-130006,4
CPDC130199,SEQ-130008,4
CPDC130199,SEQ-130009,4
CPDC130199,SEQ-130010,4
CPDC130202,SEQ-130006,4
CPDC130202,SEQ-130008,4
CPDC130202,SEQ-130009,4
CPDC130202,SEQ-130010,4
CPDC130203,SEQ-130006,4
CPDC130203,SEQ-130008,4
CPDC130203,SEQ-130009,4
CPDC130203,SEQ-130010,4
CPDC130286,SEQ-130014,2
CPDC130286,SEQ-130016,2
CPDC130293,SEQ-130016,2
CPDC130293,SEQ-130019,2
CPDC130301,SEQ-130016,5
CPDC130301,SEQ-130017,5
CPDC130301,SEQ-130087,5
CPDC130301,SEQ-140083,5
CPDC130301,SEQ-150034,5
CPDC130379,SEQ-130017,2
CPDC130379,SEQ-130024,2
CPDC130386,SEQ-130020,2
CPDC130386,SEQ-130021,2
CPDC130393,SEQ-130020,2
CPDC130393,SEQ-130021,2
CPDC130403,SEQ-130024,2
CPDC130403,SEQ-130027,2
CPDC130478,SEQ-130025,4
CPDC130478,SEQ-130087,4
CPDC130478,SEQ-140083,4
CPDC130478,SEQ-150034,4
CPDC130487,SEQ-130025,4
CPDC130487,SEQ-130087,4
CPDC130487,SEQ-140077,4
CPDC130487,SEQ-150034,4
CPDC130493,SEQ-130027,4
CPDC130493,SEQ-130029,4
CPDC130493,SEQ-130031,4
CPDC130493,SEQ-130032,4
CPDC130498,SEQ-130029,3
CPDC130498,SEQ-130031,3
CPDC130498,SEQ-130032,3
CPDC130500,SEQ-130027,4
CPDC130500,SEQ-130029,4
CPDC130500,SEQ-130031,4
CPDC130500,SEQ-130032,4
CPDC130505,SEQ-130027,7
CPDC130505,SEQ-130093,7
CPDC130505,SEQ-130091,7
CPDC130505,SEQ-130087,7
CPDC130505,SEQ-140071,7
CPDC130505,SEQ-140027,7
CPDC130505,SEQ-150034,7
CPDC130506,SEQ-130029,3
CPDC130506,SEQ-130031,3
CPDC130506,SEQ-130032,3
CPDC130507,SEQ-130029,3
CPDC130507,SEQ-130031,3
CPDC130507,SEQ-130032,3
CPDC130508,SEQ-130027,2
CPDC130508,SEQ-130046,2
CPDC130512,SEQ-130029,3
CPDC130512,SEQ-130031,3
CPDC130512,SEQ-130032,3
CPDC130513,SEQ-130029,3
CPDC130513,SEQ-130031,3
CPDC130513,SEQ-130032,3
CPDC130514,SEQ-130029,3
CPDC130514,SEQ-130031,3
CPDC130514,SEQ-130032,3
CPDC130515,SEQ-130029,3
CPDC130515,SEQ-130031,3
CPDC130515,SEQ-130032,3
CPDC130516,SEQ-130029,3
CPDC130516,SEQ-130031,3
CPDC130516,SEQ-130032,3
CPDC130517,SEQ-130029,3
CPDC130517,SEQ-130031,3
CPDC130517,SEQ-130032,3
CPDC130518,SEQ-130029,3
CPDC130518,SEQ-130031,3
CPDC130518,SEQ-130032,3
CPDC130519,SEQ-130030,2
CPDC130519,SEQ-130034,2
CPDC130555,SEQ-130030,2
CPDC130555,SEQ-130034,2
CPDC130556,SEQ-130030,2
CPDC130556,SEQ-130034,2
CPDC130557,SEQ-130030,2
CPDC130557,SEQ-130034,2
CPDC130558,SEQ-130030,2
CPDC130558,SEQ-150137,2
CPDC130565,SEQ-130034,4
CPDC130565,SEQ-130041,4
CPDC130565,SEQ-130050,4
CPDC130565,SEQ-130053,4
CPDC130582,SEQ-130037,4
CPDC130582,SEQ-130040,4
CPDC130582,SEQ-130047,4
CPDC130582,SEQ-130052,4
CPDC130583,SEQ-130037,4
CPDC130583,SEQ-130040,4
CPDC130583,SEQ-130047,4
CPDC130583,SEQ-130052,4
CPDC130595,SEQ-130037,4
CPDC130595,SEQ-130041,4
CPDC130595,SEQ-130050,4
CPDC130595,SEQ-130053,4
CPDC130596,SEQ-130037,3
CPDC130596,SEQ-130041,3
CPDC130596,SEQ-130050,3
CPDC130602,SEQ-130040,3
CPDC130602,SEQ-130047,3
CPDC130602,SEQ-130052,3
CPDC130603,SEQ-130040,3
CPDC130603,SEQ-130047,3
CPDC130603,SEQ-130052,3
CPDC130604,SEQ-130040,4
CPDC130604,SEQ-130046,4
CPDC130604,SEQ-130047,4
CPDC130604,SEQ-130052,4
CPDC130606,SEQ-130040,4
CPDC130606,SEQ-130046,4
CPDC130606,SEQ-130047,4
CPDC130606,SEQ-130052,4
CPDC130607,SEQ-130040,3
CPDC130607,SEQ-130047,3
CPDC130607,SEQ-130052,3
CPDC130627,SEQ-130040,3
CPDC130627,SEQ-130047,3
CPDC130627,SEQ-130052,3
CPDC130646,SEQ-130040,3
CPDC130646,SEQ-130047,3
CPDC130646,SEQ-130052,3
CPDC130647,SEQ-130040,4
CPDC130647,SEQ-130046,4
CPDC130647,SEQ-130047,4
CPDC130647,SEQ-130052,4
CPDC130648,SEQ-130040,3
CPDC130648,SEQ-130047,3
CPDC130648,SEQ-130052,3
CPDC130650,SEQ-130040,4
CPDC130650,SEQ-130046,4
CPDC130650,SEQ-130047,4
CPDC130650,SEQ-130052,4
CPDC130651,SEQ-130040,4
CPDC130651,SEQ-130046,4
CPDC130651,SEQ-130047,4
CPDC130651,SEQ-130052,4
CPDC130652,SEQ-130040,3
CPDC130652,SEQ-130047,3
CPDC130652,SEQ-130052,3
CPDC130654,SEQ-130040,3
CPDC130654,SEQ-130047,3
CPDC130654,SEQ-130052,3
CPDC130655,SEQ-130040,3
CPDC130655,SEQ-130047,3
CPDC130655,SEQ-130052,3
CPDC130656,SEQ-130040,3
CPDC130656,SEQ-130047,3
CPDC130656,SEQ-130052,3
CPDC130657,SEQ-130040,3
CPDC130657,SEQ-130047,3
CPDC130657,SEQ-130052,3
CPDC130659,SEQ-130040,3
CPDC130659,SEQ-130047,3
CPDC130659,SEQ-130052,3
CPDC130664,SEQ-130040,3
CPDC130664,SEQ-130047,3
CPDC130664,SEQ-130052,3
CPDC130678,SEQ-130044,2
CPDC130678,SEQ-150137,2
CPDC130695,SEQ-130046,2
CPDC130695,SEQ-130048,2
CPDC130697,SEQ-130046,2
CPDC130697,SEQ-130048,2
CPDC130718,SEQ-130048,2
CPDC130718,SEQ-130050,2
CPDC130731,SEQ-130048,8
CPDC130731,SEQ-130059,8
CPDC130731,SEQ-130060,8
CPDC130731,SEQ-130062,8
CPDC130731,SEQ-130061,8
CPDC130731,SEQ-130063,8
CPDC130731,SEQ-130064,8
CPDC130731,SEQ-130073,8
CPDC130732,SEQ-130067,2
CPDC130732,SEQ-130072,2
CPDC130764,SEQ-130053,7
CPDC130764,SEQ-130059,7
CPDC130764,SEQ-130060,7
CPDC130764,SEQ-130062,7
CPDC130764,SEQ-130061,7
CPDC130764,SEQ-130063,7
CPDC130764,SEQ-130064,7
CPDC130774,SEQ-130054,2
CPDC130774,SEQ-130057,2
CPDC130797,SEQ-130054,2
CPDC130797,SEQ-130056,2
CPDC130800,SEQ-130054,2
CPDC130800,SEQ-130088,2
CPDC130831,SEQ-130056,2
CPDC130831,SEQ-130088,2
CPDC130845,SEQ-130057,5
CPDC130845,SEQ-130088,5
CPDC130845,SEQ-130087,5
CPDC130845,SEQ-140077,5
CPDC130845,SEQ-150034,5
CPDC130846,SEQ-130056,2
CPDC130846,SEQ-130057,2
CPDC130855,SEQ-130057,7
CPDC130855,SEQ-130059,7
CPDC130855,SEQ-130060,7
CPDC130855,SEQ-130062,7
CPDC130855,SEQ-130061,7
CPDC130855,SEQ-130063,7
CPDC130855,SEQ-130064,7
CPDC130858,SEQ-130057,6
CPDC130858,SEQ-130059,6
CPDC130858,SEQ-130060,6
CPDC130858,SEQ-130062,6
CPDC130858,SEQ-130061,6
CPDC130858,SEQ-130088,6
CPDC130865,SEQ-130057,9
CPDC130865,SEQ-130059,9
CPDC130865,SEQ-130060,9
CPDC130865,SEQ-130062,9
CPDC130865,SEQ-130061,9
CPDC130865,SEQ-130063,9
CPDC130865,SEQ-130064,9
CPDC130865,SEQ-130067,9
CPDC130865,SEQ-130073,9
CPDC130869,SEQ-130059,8
CPDC130869,SEQ-130060,8
CPDC130869,SEQ-130062,8
CPDC130869,SEQ-130061,8
CPDC130869,SEQ-130063,8
CPDC130869,SEQ-130064,8
CPDC130869,SEQ-130067,8
CPDC130869,SEQ-130079,8
CPDC130870,SEQ-130059,4
CPDC130870,SEQ-130060,4
CPDC130870,SEQ-130062,4
CPDC130870,SEQ-130061,4
CPDC130871,SEQ-130059,4
CPDC130871,SEQ-130060,4
CPDC130871,SEQ-130062,4
CPDC130871,SEQ-130061,4
CPDC130872,SEQ-130059,7
CPDC130872,SEQ-130060,7
CPDC130872,SEQ-130062,7
CPDC130872,SEQ-130061,7
CPDC130872,SEQ-130063,7
CPDC130872,SEQ-130064,7
CPDC130872,SEQ-130067,7
CPDC130873,SEQ-130059,4
CPDC130873,SEQ-130060,4
CPDC130873,SEQ-130062,4
CPDC130873,SEQ-130061,4
CPDC130874,SEQ-130059,8
CPDC130874,SEQ-130060,8
CPDC130874,SEQ-130062,8
CPDC130874,SEQ-130061,8
CPDC130874,SEQ-130063,8
CPDC130874,SEQ-130064,8
CPDC130874,SEQ-130067,8
CPDC130874,SEQ-130073,8
CPDC130915,SEQ-130066,4
CPDC130915,SEQ-130070,4
CPDC130915,SEQ-130088,4
CPDC130924,SEQ-130066,2
CPDC130924,SEQ-130069,2
CPDC130927,SEQ-130066,2
CPDC130927,SEQ-130068,2
CPDC130937,SEQ-130066,8
CPDC130937,SEQ-130093,8
CPDC130937,SEQ-130091,8
CPDC130937,SEQ-130088,8
CPDC130937,SEQ-130087,8
CPDC130937,SEQ-140071,8
CPDC130937,SEQ-140027,8
CPDC130937,SEQ-150034,8
CPDC131013,SEQ-130072,8
CPDC131013,SEQ-130093,8
CPDC131013,SEQ-130091,8
CPDC131013,SEQ-130088,8
CPDC131013,SEQ-130087,8
CPDC131013,SEQ-140071,8
CPDC131013,SEQ-140027,8
CPDC131013,SEQ-150034,8
CPDC131020,SEQ-130072,2
CPDC131020,SEQ-150029,2
CPDC131034,SEQ-130073,2
CPDC131034,SEQ-130075,2
CPDC131074,SEQ-130079,3
CPDC131074,SEQ-130081,3
CPDC131074,SEQ-130082,3
CPDC131075,SEQ-130079,3
CPDC131075,SEQ-130081,3
CPDC131075,SEQ-130082,3
CPDC131077,SEQ-130078,2
CPDC131077,SEQ-130079,2
CPDC131080,SEQ-130078,3
CPDC131080,SEQ-130081,3
CPDC131080,SEQ-130082,3
CPDC131083,SEQ-130079,3
CPDC131083,SEQ-130081,3
CPDC131083,SEQ-130082,3
CPDC131090,SEQ-130079,3
CPDC131090,SEQ-130081,3
CPDC131090,SEQ-130082,3
CPDC131094,SEQ-130079,3
CPDC131094,SEQ-130081,3
CPDC131094,SEQ-130082,3
CPDC131096,SEQ-130079,3
CPDC131096,SEQ-130081,3
CPDC131096,SEQ-130082,3
CPDC131099,SEQ-130081,2
CPDC131099,SEQ-130082,2
CPDC131100,SEQ-130081,2
CPDC131100,SEQ-130082,2
CPDC131101,SEQ-130081,2
CPDC131101,SEQ-130082,2
CPDC131102,SEQ-130081,2
CPDC131102,SEQ-130082,2
CPDC131104,SEQ-130081,2
CPDC131104,SEQ-130082,2
CPDC131105,SEQ-130081,2
CPDC131105,SEQ-130082,2
CPDC131106,SEQ-130081,2
CPDC131106,SEQ-130082,2
CPDC131107,SEQ-130081,2
CPDC131107,SEQ-130082,2
CPDC131114,SEQ-130081,9
CPDC131114,SEQ-130082,9
CPDC131114,SEQ-130093,9
CPDC131114,SEQ-130091,9
CPDC131114,SEQ-130088,9
CPDC131114,SEQ-130087,9
CPDC131114,SEQ-140071,9
CPDC131114,SEQ-140027,9
CPDC131114,SEQ-150034,9
CPDC131117,SEQ-130081,2
CPDC131117,SEQ-130082,2
CPDC131118,SEQ-130081,2
CPDC131118,SEQ-130082,2
CPDC131131,SEQ-130086,2
CPDC131131,SEQ-130088,2
CPDC131151,SEQ-130089,4
CPDC131151,SEQ-130093,4
CPDC131151,SEQ-130091,4
CPDC131151,SEQ-130088,4
CPDC131152,SEQ-130089,5
CPDC131152,SEQ-130093,5
CPDC131152,SEQ-130091,5
CPDC131152,SEQ-130088,5
CPDC131152,SEQ-140115,5
CPDC131153,SEQ-130089,4
CPDC131153,SEQ-130093,4
CPDC131153,SEQ-130091,4
CPDC131153,SEQ-130088,4
CPDC131154,SEQ-130089,4
CPDC131154,SEQ-130093,4
CPDC131154,SEQ-130091,4
CPDC131154,SEQ-130088,4
CPDC131182,SEQ-130089,3
CPDC131182,SEQ-130093,3
CPDC131182,SEQ-130091,3
CPDC131183,SEQ-130094,2
CPDC131183,SEQ-130095,2
CPDC131184,SEQ-130094,2
CPDC131184,SEQ-130095,2
CPDC131187,SEQ-130094,2
CPDC131187,SEQ-130097,2
CPDC131188,SEQ-130094,2
CPDC131188,SEQ-130095,2
CPDC131193,SEQ-130094,2
CPDC131193,SEQ-130095,2
CPDC131199,SEQ-130094,2
CPDC131199,SEQ-130095,2
CPDC131263,SEQ-130098,2
CPDC131263,SEQ-130099,2
CPDC131267,SEQ-130098,2
CPDC131267,SEQ-130099,2
CPDC131277,SEQ-130098,2
CPDC131277,SEQ-130099,2
CPDC131278,SEQ-130098,2
CPDC131278,SEQ-130099,2
CPDC131291,SEQ-130098,2
CPDC131291,SEQ-130099,2
CPDC131317,SEQ-130101,3
CPDC131317,SEQ-130102,3
CPDC131317,SEQ-130104,3
CPDC131318,SEQ-130101,3
CPDC131318,SEQ-130102,3
CPDC131318,SEQ-130104,3
CPDC131321,SEQ-130101,3
CPDC131321,SEQ-130102,3
CPDC131321,SEQ-130104,3
CPDC131322,SEQ-130101,3
CPDC131322,SEQ-130102,3
CPDC131322,SEQ-130104,3
CPDC131323,SEQ-130101,3
CPDC131323,SEQ-130102,3
CPDC131323,SEQ-130104,3
CPDC131324,SEQ-130101,3
CPDC131324,SEQ-130102,3
CPDC131324,SEQ-130104,3
CPDC131325,SEQ-130101,3
CPDC131325,SEQ-130102,3
CPDC131325,SEQ-130104,3
CPDC131326,SEQ-130101,3
CPDC131326,SEQ-130102,3
CPDC131326,SEQ-130104,3
CPDC131327,SEQ-130101,3
CPDC131327,SEQ-130102,3
CPDC131327,SEQ-130104,3
CPDC131329,SEQ-130101,3
CPDC131329,SEQ-130102,3
CPDC131329,SEQ-130104,3
CPDC131331,SEQ-130101,4
CPDC131331,SEQ-130102,4
CPDC131331,SEQ-130103,4
CPDC131331,SEQ-130104,4
CPDC131332,SEQ-130101,3
CPDC131332,SEQ-130102,3
CPDC131332,SEQ-130104,3
CPDC131333,SEQ-130101,3
CPDC131333,SEQ-130102,3
CPDC131333,SEQ-130104,3
CPDC131334,SEQ-130101,3
CPDC131334,SEQ-130102,3
CPDC131334,SEQ-130104,3
CPDC131335,SEQ-130101,3
CPDC131335,SEQ-130102,3
CPDC131335,SEQ-130104,3
CPDC131336,SEQ-130101,4
CPDC131336,SEQ-130102,4
CPDC131336,SEQ-130103,4
CPDC131336,SEQ-130104,4
CPDC131337,SEQ-130101,4
CPDC131337,SEQ-130102,4
CPDC131337,SEQ-130103,4
CPDC131337,SEQ-130104,4
CPDC131338,SEQ-130101,3
CPDC131338,SEQ-130102,3
CPDC131338,SEQ-130104,3
CPDC131339,SEQ-130101,4
CPDC131339,SEQ-130102,4
CPDC131339,SEQ-130103,4
CPDC131339,SEQ-130104,4
CPDC131342,SEQ-130101,3
CPDC131342,SEQ-130102,3
CPDC131342,SEQ-130104,3
CPDC131343,SEQ-130101,3
CPDC131343,SEQ-130102,3
CPDC131343,SEQ-130104,3
CPDC131344,SEQ-130101,3
CPDC131344,SEQ-130102,3
CPDC131344,SEQ-130104,3
CPDC131345,SEQ-130101,3
CPDC131345,SEQ-130102,3
CPDC131345,SEQ-130104,3
CPDC131346,SEQ-130101,3
CPDC131346,SEQ-130102,3
CPDC131346,SEQ-130104,3
CPDC131347,SEQ-130101,3
CPDC131347,SEQ-130102,3
CPDC131347,SEQ-130104,3
CPDC131348,SEQ-130101,3
CPDC131348,SEQ-130102,3
CPDC131348,SEQ-130104,3
CPDC131360,SEQ-130105,2
CPDC131360,SEQ-130106,2
CPDC131363,SEQ-130105,2
CPDC131363,SEQ-130106,2
CPDC131364,SEQ-130105,2
CPDC131364,SEQ-130106,2
CPDC131365,SEQ-130105,2
CPDC131365,SEQ-130106,2
CPDC131366,SEQ-130105,2
CPDC131366,SEQ-130106,2
CPDC131368,SEQ-130105,2
CPDC131368,SEQ-130106,2
CPDC131370,SEQ-130105,2
CPDC131370,SEQ-130106,2
CPDC131371,SEQ-130105,2
CPDC131371,SEQ-130106,2
CPDC131372,SEQ-130105,2
CPDC131372,SEQ-130106,2
CPDC131373,SEQ-130105,2
CPDC131373,SEQ-130106,2
CPDC131374,SEQ-130105,3
CPDC131374,SEQ-130107,3
CPDC131374,SEQ-130106,3
CPDC131379,SEQ-130105,2
CPDC131379,SEQ-130106,2
CPDC131382,SEQ-130105,2
CPDC131382,SEQ-130106,2
CPDC131383,SEQ-130105,2
CPDC131383,SEQ-130106,2
CPDC131384,SEQ-130105,2
CPDC131384,SEQ-130106,2
CPDC131385,SEQ-130105,2
CPDC131385,SEQ-130106,2
CPDC131387,SEQ-130105,2
CPDC131387,SEQ-130106,2
CPDC131389,SEQ-130105,2
CPDC131389,SEQ-130106,2
CPDC131395,SEQ-130109,2
CPDC131395,SEQ-130112,2
CPDC131426,SEQ-130113,2
CPDC131426,SEQ-130114,2
CPDC131431,SEQ-130109,2
CPDC131431,SEQ-130112,2
CPDC131438,SEQ-130110,2
CPDC131438,SEQ-130113,2
CPDC131460,SEQ-130113,2
CPDC131460,SEQ-130114,2
CPDC131477,SEQ-130113,2
CPDC131477,SEQ-130114,2
CPDC131478,SEQ-130113,2
CPDC131478,SEQ-130114,2
CPDC131503,SEQ-130115,3
CPDC131503,SEQ-140036,3
CPDC131503,SEQ-140054,3
CPDC131511,SEQ-130115,3
CPDC131511,SEQ-140036,3
CPDC131511,SEQ-140054,3
CPDC131522,SEQ-130116,2
CPDC131522,SEQ-130117,2
CPDC131523,SEQ-130116,4
CPDC131523,SEQ-130117,4
CPDC131523,SEQ-140036,4
CPDC131523,SEQ-140054,4
CPDC131524,SEQ-130116,2
CPDC131524,SEQ-130117,2
CPDC131528,SEQ-130116,2
CPDC131528,SEQ-130117,2
CPDC131529,SEQ-130116,2
CPDC131529,SEQ-130117,2
CPDC131530,SEQ-130116,2
CPDC131530,SEQ-130117,2
CPDC131537,SEQ-130116,2
CPDC131537,SEQ-130117,2
CPDC131538,SEQ-130116,2
CPDC131538,SEQ-130117,2
CPDC131540,SEQ-130116,2
CPDC131540,SEQ-130117,2
CPDC131541,SEQ-130116,2
CPDC131541,SEQ-130117,2
CPDC131542,SEQ-130116,2
CPDC131542,SEQ-130117,2
CPDC131543,SEQ-130116,2
CPDC131543,SEQ-130117,2
CPDC131544,SEQ-130116,2
CPDC131544,SEQ-130117,2
CPDC131545,SEQ-130116,2
CPDC131545,SEQ-130117,2
CPDC131546,SEQ-130116,2
CPDC131546,SEQ-130117,2
CPDC131547,SEQ-130116,4
CPDC131547,SEQ-130117,4
CPDC131547,SEQ-140036,4
CPDC131547,SEQ-140054,4
CPDC131548,SEQ-130116,2
CPDC131548,SEQ-130117,2
CPDC131549,SEQ-130116,2
CPDC131549,SEQ-130117,2
CPDC131554,SEQ-140001,3
CPDC131554,SEQ-140036,3
CPDC131554,SEQ-140054,3
CPDC140003,SEQ-140002,2
CPDC140003,SEQ-140003,2
CPDC140004,SEQ-140002,2
CPDC140004,SEQ-140003,2
CPDC140005,SEQ-140002,2
CPDC140005,SEQ-140003,2
CPDC140006,SEQ-140002,2
CPDC140006,SEQ-140003,2
CPDC140007,SEQ-140002,3
CPDC140007,SEQ-140004,3
CPDC140007,SEQ-140003,3
CPDC140008,SEQ-140002,2
CPDC140008,SEQ-140003,2
CPDC140009,SEQ-140002,2
CPDC140009,SEQ-140003,2
CPDC140011,SEQ-140002,2
CPDC140011,SEQ-140003,2
CPDC140012,SEQ-140002,4
CPDC140012,SEQ-140003,4
CPDC140012,SEQ-140036,4
CPDC140012,SEQ-140054,4
CPDC140013,SEQ-140002,2
CPDC140013,SEQ-140003,2
CPDC140014,SEQ-140002,2
CPDC140014,SEQ-140003,2
CPDC140015,SEQ-140002,2
CPDC140015,SEQ-140003,2
CPDC140016,SEQ-140004,2
CPDC140016,SEQ-140007,2
CPDC140017,SEQ-140002,3
CPDC140017,SEQ-140004,3
CPDC140017,SEQ-140003,3
CPDC140018,SEQ-140002,2
CPDC140018,SEQ-140003,2
CPDC140019,SEQ-140002,2
CPDC140019,SEQ-140003,2
CPDC140020,SEQ-140002,2
CPDC140020,SEQ-140003,2
CPDC140021,SEQ-140002,3
CPDC140021,SEQ-140004,3
CPDC140021,SEQ-140003,3
CPDC140031,SEQ-140004,3
CPDC140031,SEQ-140036,3
CPDC140031,SEQ-140054,3
CPDC140045,SEQ-140007,3
CPDC140045,SEQ-140036,3
CPDC140045,SEQ-140054,3
CPDC140096,SEQ-140010,2
CPDC140096,SEQ-140011,2
CPDC140097,SEQ-140010,2
CPDC140097,SEQ-140011,2
CPDC140104,SEQ-140010,2
CPDC140104,SEQ-140011,2
CPDC140124,SEQ-140011,2
CPDC140124,SEQ-140012,2
CPDC140132,SEQ-140011,2
CPDC140132,SEQ-140012,2
CPDC140137,SEQ-140011,2
CPDC140137,SEQ-140012,2
CPDC140141,SEQ-140011,2
CPDC140141,SEQ-140012,2
CPDC140148,SEQ-140011,2
CPDC140148,SEQ-140012,2
CPDC140152,SEQ-140011,3
CPDC140152,SEQ-140016,3
CPDC140152,SEQ-140012,3
CPDC140160,SEQ-140016,2
CPDC140160,SEQ-140018,2
CPDC140189,SEQ-140016,2
CPDC140189,SEQ-140077,2
CPDC140236,SEQ-140018,2
CPDC140236,SEQ-140020,2
CPDC140258,SEQ-140020,2
CPDC140258,SEQ-140024,2
CPDC140277,SEQ-140024,2
CPDC140277,SEQ-140027,2
CPDC140280,SEQ-140024,2
CPDC140280,SEQ-140027,2
CPDC140304,SEQ-140026,2
CPDC140304,SEQ-140028,2
CPDC140311,SEQ-140026,2
CPDC140311,SEQ-140028,2
CPDC140319,SEQ-140031,2
CPDC140319,SEQ-140032,2
